type,name,age,breed,size,weight,dogs,cats,kids,energy,affection,new_people,training,image_url
Dog,Swiffer,24,Mixed Breed (Large),,46.2,4,2,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/a9d545a9a1b5be7c907f135e11badf17/14dfada9514cfa4a39bae377b5664a57.jpg
Cat,Belle,108,Domestic Longhair,,5.5777,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/80af8eeda4b5e0b48d3331a30c26aef3/e6886483aaabef6fccafa84f9933fa26.jpg
Cat,Maxie,199,Persian/Himalayan,,5.19,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Chloe,199,Domestic Longhair,,9.6,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/public/img/profile_photo/default_cat.png
Cat,Mao,199,Domestic Shorthair,,11.3,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/7121674acf3d0a8a622c889fca1c20a8/20190910104553.png
Cat,Dean,136,Domestic Longhair,,12,2,1,1,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/72a8a2b8d9b80a05e1cb9fe9c4c1163a/20241208132958.png
Cat,Simba,158,Domestic Shorthair,,,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/4dc32b0d93a7892930fbd9e2d70e8e7e/20190911105610.png
Cat,Reversi,140,Domestic Shorthair,,9,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/8becec302de90c1ab7409ade443aa133/20190910110649.png
Dog,Milo fka Sam,139,Mixed Breed (Medium),Medium (20-59),59.7,1,1,1,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/d9dc74b308ba54030d05189722ded854/20190914111736.png
Dog,Andi,165,Mixed Breed (Large),Large (60-99),53.8,3,1,3,2,3,3,3,https://new-s3.shelterluv.com/profile-pictures/b41d223b544a346b0248209c07202303/20220923101545.png
Cat,Arthur,222,Domestic Shorthair,,6.4,2,1,2,2,3,4,3,https://new-s3.shelterluv.com/profile-pictures/84ca3b30be0b452ec19251fc07ceaacb/20190910093246.png
Dog,Nebula,75,Mixed Breed (Medium),Medium (20-59),67.8,5,2,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/cd53be4b01f94be92ccd33fcc59f3556/20240609085851.png
Cat,Taylor Swift,146,Domestic Longhair,,12.4,3,3,3,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/94fab2460153bfe00253b9dacc3e56c4/20230821133927.png
Cat,Cardamom,55,Domestic Shorthair,,11.7,2,3,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/435873092a158ab90b90702c58d7f3f4/20220618094348.png
Dog,Lulu,117,Mixed Breed (Medium),Medium (20-59),56.6,1,1,1,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/246cd2a4b7fd8b625de5116768bfedd5/20240321083823.png
Dog,Apollo,96,Mixed Breed (Large),Large (60-99),68.6,3,3,3,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/3fa7f2f8cca9e0d7dd1361af64eac5f8/20220706115226.png
Cat,Pimms,78,Domestic Shorthair,,12.6,2,1,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/52cf2084b8b4dc290a30b98e14878c45/20240328092107.png
Dog,Curie,21,Mixed Breed (Medium),Medium (20-59),65.2,4,4,5,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/568a76254f4c8b9f44dffb151fb7b5ca/20241004071145.png
Dog,Julio,104,Mixed Breed (Medium),Large (60-99),71,3,1,1,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/328a740690b5610408b7122a92893c1b/20240321085359.png
Dog,Birdie,90,Mixed Breed (Large),Large (60-99),82.4,1,3,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/044efc01107705615afe80486da1d563/4b36c323583039e636422db0c9d2c690.jpeg
Cat,Rosie,68,Domestic Shorthair,,6.6,2,2,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/0d70b08131f4658867e1160b1e768a79/20240321082737.png
Cat,Swiss,13,Domestic Shorthair,,7.25,3,5,5,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/92a094402292c9168465a512945e60bc/9217b7d7fca9fffa06734a2e86bb14ff.jpg
Dog,Alexandra,81,Mixed Breed (Medium),Medium (20-59),33,3,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/44cafd961ee8fcf4cc7e4ed7314bd04f/20221209084753.png
Dog,Noodle,63,Mixed Breed (Medium),Medium (20-59),59,3,2,2,3,3,2,3,https://new-s3.shelterluv.com/profile-pictures/6c465c963ae85e2c73d88ee015208c49/20230725123806.png
Dog,Appa,87,Mixed Breed (Large),Medium (20-59),63,1,1,4,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/98fd39c5c7b872d0f95d994a243a392d/20230304114813.png
Dog,Jack,77,Mixed Breed (Large),Medium (20-59),64,3,2,2,3,3,3,3,https://new-s3.shelterluv.com/profile-pictures/20f1d8e6e1655a5e47cc46098a8c510d/20221128055210.png
Cat,Stardust,40,Domestic Shorthair,,10.63,3,2,2,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/4fa2589533c1e6d8176d7e446f2cf32c/a24c070fb1fce50a243862e5b1c531f0.jpg
Dog,Kazoo,62,Mixed Breed (Medium),,74.2,2,2,4,3,3,5,3,https://new-s3.shelterluv.com/profile-pictures/7c77ed65a582106fdc0f3fbd82c916b2/f5c06c5fbf65a5d6d572fa323637db5c.jpeg
Cat,Daisy,65,Domestic Shorthair,,8.67,2,4,2,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/3a2010e1ec871ceb9a056be273872bb3/20241206143427.png
Cat,Twin,181,Domestic Longhair,,9.6,3,3,3,3,3,4,3,https://new-s3.shelterluv.com/profile-pictures/ffddb84562f68504b9468bac5c8c1465/20241208065035.png
